,steps,heart_rate,raw_intensity,feeling_rate
290,1738,89.09,31.61,2
291,1572,88.41,28.16,2
292,7315,85.46,29.28,2
293,2644,86.05,29.8,2
294,4285,90.91,38.38,2
295,2106,90.17,34.18,2
296,5180,83.21,32.03,2
297,5072,87.47,28.57,2
298,4116,83.73,29.72,2
299,1051,84.46,26.78,2
300,5725,85.45,32.88,2
301,3403,89.51,38.11,2
302,998,89.53,30.29,2
303,5584,83.92,30.86,2
304,3507,85.93,28.18,2
305,5483,84.79,31.9,2
306,6282,83.17,31.86,2
307,5389,83.26,32.41,2
308,3609,89.41,46.34,1
309,8481,92.16,48.89,2
310,4422,84.89,27.66,2
311,876,88.38,23.29,2
312,5486,84.8,28.1,2
313,4601,85.67,27.95,2
314,4447,86.61,28.93,2
315,9995,89.43,36.57,2
316,1900,87.19,29.2,2
317,3842,83.54,27.69,2
318,8615,88.34,34.33,2
319,4519,83.39,29.45,2
320,2596,88.88,31.21,2
321,5595,88.34,34.16,2
322,2146,87.66,30.75,2
323,1368,87.84,29.25,2
324,4638,84.05,30.62,2
325,2760,86.22,29.58,2
326,6208,88.95,36.3,2
327,4599,83.91,27.52,2
328,4868,84.59,28.24,2
329,2203,93.37,41.44,2
330,16695,85.72,53.09,2
331,12246,88.16,55.52,2
332,10567,87.33,47.19,2
333,12929,86.02,49.88,2
334,3393,88.29,42.94,2
335,11589,90.9,53.06,2
336,11212,88.77,43.66,2
337,5325,90.29,36.09,2
338,8378,89.64,38.5,2
339,12240,89.35,49.75,2
340,9051,91.67,50.81,2
341,14270,86.21,54.87,2
342,7778,89.3,46.43,2
343,9005,89.54,47.15,2
344,11500,86.37,47.68,2
345,4660,90.53,54.93,2
346,11582,87.05,54.64,2
347,7345,86.41,54.54,2
348,2666,88.05,47.68,2
349,3279,86.87,34.82,2
350,8912,89.52,38.28,2
351,831,90.3,26.82,2
352,9448,87.21,41.15,2
353,8331,87.59,46.69,2
354,5523,88.09,46.72,2
355,2607,90.1,41.89,2
357,3483,88.38,39.27,2
358,2856,85.7,36.14,2
360,7081,90.0,52.08,2
364,206,88.09,31.96,2
368,10012,86.26,45.98,2
370,2333,88.97,46.51,2
372,5921,85.66,48.85,2
376,2024,90.22,62.52,2
381,5946,87.8,39.95,2
382,3242,86.77,42.56,2
383,7348,94.38,39.49,2
384,10828,91.24,45.36,2
385,9683,86.4,47.23,2
386,5195,85.33,43.88,2
387,6163,88.27,47.61,2
388,10198,85.82,56.48,2
389,4732,88.56,49.15,2
390,5448,90.13,56.1,2
391,7311,88.63,47.44,2
392,12599,85.5,52.43,2
393,6605,89.6,51.64,2
394,7486,88.39,44.52,2
395,7971,89.02,49.68,2
396,5355,86.08,43.84,2
397,7280,91.05,48.62,2
398,7766,90.63,43.36,2
399,3277,90.55,30.19,2
400,8605,91.36,39.3,2
401,2789,91.84,30.5,2
402,6611,91.2,41.07,2
403,150,86.92,31.41,2
