,steps,heart_rate,raw_intensity,feeling_rate
290,1738,89.09,31.61,4
291,1572,88.41,28.16,4
292,7315,85.46,29.28,4
293,2644,86.05,29.8,4
294,4285,90.91,38.38,4
295,2106,90.17,34.18,4
296,5180,83.21,32.03,4
297,5072,87.47,28.57,4
298,4116,83.73,29.72,4
299,1051,84.46,26.78,4
300,5725,85.45,32.88,4
301,3403,89.51,38.11,4
302,998,89.53,30.29,4
303,5584,83.92,30.86,4
304,3507,85.93,28.18,4
305,5483,84.79,31.9,4
306,6282,83.17,31.86,4
307,5389,83.26,32.41,4
308,3609,89.41,46.34,3
309,8481,92.16,48.89,4
310,4422,84.89,27.66,4
311,876,88.38,23.29,4
312,5486,84.8,28.1,4
313,4601,85.67,27.95,4
314,4447,86.61,28.93,4
315,9995,89.43,36.57,4
316,1900,87.19,29.2,4
317,3842,83.54,27.69,4
318,8615,88.34,34.33,4
319,4519,83.39,29.45,4
320,2596,88.88,31.21,4
321,5595,88.34,34.16,4
322,2146,87.66,30.75,4
323,1368,87.84,29.25,4
324,4638,84.05,30.62,4
325,2760,86.22,29.58,4
326,6208,88.95,36.3,4
327,4599,83.91,27.52,4
328,4868,84.59,28.24,4
329,2203,93.37,41.44,4
330,16695,85.72,53.09,5
331,12246,88.16,55.52,5
332,10567,87.33,47.19,5
333,12929,86.02,49.88,5
334,3393,88.29,42.94,4
335,11589,90.9,53.06,5
336,11212,88.77,43.66,4
337,5325,90.29,36.09,4
338,8378,89.64,38.5,4
339,12240,89.35,49.75,4
340,9051,91.67,50.81,4
341,14270,86.21,54.87,4
342,7778,89.3,46.43,4
343,9005,89.54,47.15,4
344,11500,86.37,47.68,4
345,4660,90.53,54.93,4
346,11582,87.05,54.64,4
347,7345,86.41,54.54,4
348,2666,88.05,47.68,4
349,3279,86.87,34.82,4
350,8912,89.52,38.28,4
351,831,90.3,26.82,4
352,9448,87.21,41.15,4
353,8331,87.59,46.69,4
354,5523,88.09,46.72,4
355,2607,90.1,41.89,4
357,3483,88.38,39.27,4
358,2856,85.7,36.14,4
360,7081,90.0,52.08,4
364,206,88.09,31.96,4
368,10012,86.26,45.98,4
370,2333,88.97,46.51,4
372,5921,85.66,48.85,4
376,2024,90.22,62.52,4
381,5946,87.8,39.95,4
382,3242,86.77,42.56,4
383,7348,94.38,39.49,4
384,10828,91.24,45.36,4
385,9683,86.4,47.23,4
386,5195,85.33,43.88,4
387,6163,88.27,47.61,5
388,10198,85.82,56.48,4
389,4732,88.56,49.15,4
390,5448,90.13,56.1,4
391,7311,88.63,47.44,4
392,12599,85.5,52.43,5
393,6605,89.6,51.64,4
394,7486,88.39,44.52,4
395,7971,89.02,49.68,4
396,5355,86.08,43.84,4
397,7280,91.05,48.62,4
398,7766,90.63,43.36,5
399,3277,90.55,30.19,4
400,8605,91.36,39.3,5
401,2789,91.84,30.5,3
402,6611,91.2,41.07,4
403,150,86.92,31.41,5
