date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2021-01-01,0,0,0,2020-12-30 23:00:00+0000,2020-12-30 23:00:00+0000,0,
2021-01-02,0,0,0,2020-12-31 23:00:00+0000,2020-12-31 23:00:00+0000,0,
2021-01-03,0,0,0,2021-01-01 23:00:00+0000,2021-01-01 23:00:00+0000,0,
2021-01-04,0,0,0,2021-01-02 23:00:00+0000,2021-01-02 23:00:00+0000,0,
2021-01-05,0,0,0,2021-01-03 23:00:00+0000,2021-01-03 23:00:00+0000,0,
2021-01-06,0,0,0,2021-01-04 23:00:00+0000,2021-01-04 23:00:00+0000,0,
2021-01-07,0,0,0,2021-01-05 23:00:00+0000,2021-01-05 23:00:00+0000,0,
2021-01-08,0,0,0,2021-01-06 23:00:00+0000,2021-01-06 23:00:00+0000,0,
2021-01-09,0,0,0,2021-01-07 23:00:00+0000,2021-01-07 23:00:00+0000,0,
2021-01-10,0,0,0,2021-01-08 23:00:00+0000,2021-01-08 23:00:00+0000,0,
2021-01-11,0,0,0,2021-01-09 23:00:00+0000,2021-01-09 23:00:00+0000,0,
2021-01-12,0,0,0,2021-01-10 23:00:00+0000,2021-01-10 23:00:00+0000,0,
2021-01-13,0,0,0,2021-01-11 23:00:00+0000,2021-01-11 23:00:00+0000,0,
2021-01-14,0,0,0,2021-01-12 23:00:00+0000,2021-01-12 23:00:00+0000,0,
2021-01-15,0,0,0,2021-01-13 23:00:00+0000,2021-01-13 23:00:00+0000,0,
2021-01-16,0,0,0,2021-01-14 23:00:00+0000,2021-01-14 23:00:00+0000,0,
2021-01-17,0,0,0,2021-01-15 23:00:00+0000,2021-01-15 23:00:00+0000,0,
2021-01-18,0,0,0,2021-01-16 23:00:00+0000,2021-01-16 23:00:00+0000,0,
2021-01-19,0,0,0,2021-01-17 23:00:00+0000,2021-01-17 23:00:00+0000,0,
2021-01-20,0,0,0,2021-01-18 23:00:00+0000,2021-01-18 23:00:00+0000,0,
2021-01-21,0,0,0,2021-01-19 23:00:00+0000,2021-01-19 23:00:00+0000,0,
2021-01-22,0,0,0,2021-01-20 23:00:00+0000,2021-01-20 23:00:00+0000,0,
2021-01-23,0,0,0,2021-01-21 23:00:00+0000,2021-01-21 23:00:00+0000,0,
2021-01-24,0,0,0,2021-01-22 23:00:00+0000,2021-01-22 23:00:00+0000,0,
2021-01-25,0,0,0,2021-01-23 23:00:00+0000,2021-01-23 23:00:00+0000,0,
2021-01-26,0,0,0,2021-01-24 23:00:00+0000,2021-01-24 23:00:00+0000,0,
2021-01-27,0,0,0,2021-01-25 23:00:00+0000,2021-01-25 23:00:00+0000,0,
2021-01-28,0,0,0,2021-01-26 23:00:00+0000,2021-01-26 23:00:00+0000,0,
2021-01-29,0,0,0,2021-01-27 23:00:00+0000,2021-01-27 23:00:00+0000,0,
2021-01-30,0,0,0,2021-01-28 23:00:00+0000,2021-01-28 23:00:00+0000,0,
2021-01-31,0,0,0,2021-01-29 23:00:00+0000,2021-01-29 23:00:00+0000,0,
2021-02-01,0,0,0,2021-01-30 23:00:00+0000,2021-01-30 23:00:00+0000,0,
2021-02-02,0,0,0,2021-01-31 23:00:00+0000,2021-01-31 23:00:00+0000,0,
2021-02-03,0,0,0,2021-02-01 23:00:00+0000,2021-02-01 23:00:00+0000,0,
2021-02-04,0,0,0,2021-02-02 23:00:00+0000,2021-02-02 23:00:00+0000,0,
2021-02-05,0,0,0,2021-02-03 23:00:00+0000,2021-02-03 23:00:00+0000,0,
