time,heartRate
2023-03-17 00:06:31+0000,94
2023-02-22 08:01:17+0000,81
2023-02-20 11:48:11+0000,76
2023-02-14 18:45:49+0000,111
2023-01-01 19:17:30+0000,108
2022-12-22 22:05:44+0000,106
2022-12-17 07:11:40+0000,79
2022-12-09 21:57:05+0000,103
2022-11-30 07:27:27+0000,81
2022-11-24 20:33:09+0000,102
2022-11-16 20:27:30+0000,92
2022-11-08 20:54:41+0000,105
2022-11-07 06:49:26+0000,71
2022-09-16 08:45:38+0000,118
2022-09-04 15:29:31+0000,79
2022-08-30 16:29:32+0000,75
2022-07-22 09:33:25+0000,63
2022-07-22 09:27:03+0000,67
2022-07-22 09:24:22+0000,71
2022-07-11 12:58:07+0000,118
2022-07-08 19:25:33+0000,73
2022-06-25 19:23:08+0000,106
2022-02-17 18:19:26+0000,74
2022-02-17 18:18:46+0000,106
2022-02-17 18:18:13+0000,70
2021-07-10 16:25:39+0000,86
2021-07-10 15:18:56+0000,71
2021-05-29 16:17:52+0000,75
2021-05-29 16:17:19+0000,70
2021-05-21 17:30:13+0000,94
2021-04-27 15:45:34+0000,48
2021-02-13 12:09:10+0000,69
2021-02-13 11:39:41+0000,76
2021-02-13 11:33:15+0000,76
2020-12-18 07:40:58+0000,71
2020-11-30 08:25:48+0000,84
2020-11-24 23:05:14+0000,76
2020-11-24 23:02:25+0000,75
2020-11-21 08:20:46+0000,105
2020-11-21 08:09:41+0000,75
2020-11-20 06:55:47+0000,71
2020-11-14 14:14:24+0000,75
