date,steps,distance,runDistance,calories
2021-01-01,0,0,0,0
2021-01-02,0,0,0,0
2021-01-03,0,0,0,0
2021-01-04,727,462,3,12
2021-01-05,808,519,143,14
2021-01-06,0,0,0,0
2021-01-07,0,0,0,0
2021-01-08,0,0,0,0
2021-01-09,1172,773,189,20
2021-01-10,542,340,56,9
2021-01-11,451,303,104,7
2021-01-12,841,538,161,13
2021-01-13,0,0,0,0
2021-01-14,910,605,87,14
2021-01-15,0,0,0,0
2021-01-16,1083,716,187,18
2021-01-17,0,0,0,0
2021-01-18,985,651,145,14
2021-01-19,3209,2175,152,56
2021-01-20,0,0,0,0
2021-01-21,11152,8966,5868,335
2021-01-22,0,0,0,0
2021-01-23,11190,8946,5960,328
2021-01-24,0,0,0,0
2021-01-25,10552,8615,6250,329
2021-01-26,0,0,0,0
2021-01-27,0,0,0,0
2021-01-28,0,0,0,0
2021-01-29,0,0,0,0
2021-01-30,1587,1024,222,25
2021-01-31,0,0,0,0
2021-02-01,0,0,0,0
2021-02-02,410,291,103,10
2021-02-03,0,0,0,0
2021-02-04,0,0,0,0
2021-02-05,4975,3412,79,81
2021-02-06,0,0,0,0
2021-02-07,0,0,0,0
2021-02-08,611,408,107,13
2021-02-09,0,0,0,0
2021-02-10,619,391,34,7
2021-02-11,792,504,153,13
2021-02-12,0,0,0,0
2021-02-13,1024,643,70,15
2021-02-14,0,0,0,0
2021-02-15,0,0,0,0
2021-02-16,121,76,7,2
2021-02-17,1022,699,343,19
2021-02-18,876,571,209,14
2021-02-19,0,0,0,0
2021-02-20,824,548,12,14
2021-02-21,985,663,213,17
2021-02-22,455,286,44,10
2021-02-23,5537,4142,110,112
2021-02-24,14499,9988,496,259
2021-02-25,0,0,0,0
2021-02-26,19274,13397,714,359
2021-02-27,2055,1309,128,39
2021-02-28,0,0,0,0
2021-03-01,0,0,0,0
2021-03-02,2279,1569,291,40
2021-03-03,5536,3933,210,99
2021-03-04,10734,8847,6263,342
2021-03-05,11350,9223,6119,346
2021-03-06,0,0,0,0
2021-03-07,0,0,0,0
2021-03-08,0,0,0,0
2021-03-09,0,0,0,0
2021-03-10,11471,9603,6461,376
2021-03-11,11544,9560,6553,365
2021-03-12,0,0,0,0
2021-03-13,0,0,0,0
2021-03-14,10643,8735,6277,334
2021-03-15,11690,9677,6820,370
2021-03-16,10674,8368,4827,281
2021-03-17,0,0,0,0
2021-03-18,0,0,0,0
2021-03-19,11379,9479,6827,370
2021-03-20,12043,9890,6509,375
2021-03-21,0,0,0,0
2021-03-22,0,0,0,0
2021-03-23,0,0,0,0
2021-03-24,0,0,0,0
2021-03-25,0,0,0,0
2021-03-26,0,0,0,0
2021-03-27,0,0,0,0
2021-03-28,2094,1430,4,37
2021-03-29,8990,7187,5000,269
2021-03-30,0,0,0,0
2021-03-31,11772,9368,6277,340
2021-04-01,11798,9541,6399,358
2021-04-02,12253,9738,6299,353
2021-04-03,0,0,0,0
2021-04-04,0,0,0,0
2021-04-05,0,0,0,0
2021-04-06,12085,10114,7700,401
2021-04-07,11147,9140,6647,358
2021-04-08,9776,8118,5905,325
2021-04-09,11449,9216,5962,340
2021-04-10,0,0,0,0
2021-04-11,0,0,0,0
2021-04-12,1796,1196,32,32
2021-04-13,11942,9765,6491,371
2021-04-14,12514,9199,312,249
2021-04-15,16226,12788,6761,456
2021-04-16,10599,8755,6281,344
2021-04-17,12815,10288,6563,379
2021-04-18,2769,1926,19,52
2021-04-19,14849,11798,6739,431
2021-04-20,14198,11388,7025,418
2021-04-21,9879,8453,6783,349
2021-04-22,0,0,0,0
2021-04-23,0,0,0,0
2021-04-24,15996,12697,6947,469
2021-04-25,674,457,70,15
2021-04-26,13380,11169,6735,438
2021-04-27,15449,12479,6956,459
2021-04-28,1288,970,25,28
2021-04-29,10989,9196,6644,368
2021-04-30,16137,12645,6915,463
2021-05-01,0,0,0,0
2021-05-02,0,0,0,0
2021-05-03,12703,10160,6596,392
2021-05-04,11699,9412,6075,355
2021-05-05,0,0,0,0
2021-05-06,0,0,0,0
2021-05-07,1369,870,69,21
2021-05-08,16087,12770,6632,459
2021-05-09,2879,1978,111,54
2021-05-10,17709,13637,6519,481
2021-05-11,0,0,0,0
2021-05-12,17275,13477,6561,471
2021-05-13,15954,12691,7569,470
2021-05-14,10971,7679,148,201
2021-05-15,15042,11882,6478,432
2021-05-16,121,76,31,3
2021-05-17,21060,16469,7099,565
2021-05-18,0,0,0,0
2021-05-19,11421,9458,6672,375
2021-05-20,0,0,0,0
2021-05-21,14527,11398,6649,422
2021-05-22,16851,13075,6585,471
2021-05-23,7762,5454,383,148
2021-05-24,0,0,0,0
2021-05-25,0,0,0,0
2021-05-26,11100,9274,6547,367
2021-05-27,14578,11622,6551,436
2021-05-28,18546,14456,6390,512
2021-05-29,12418,10297,7026,415
2021-05-30,2307,1651,31,44
2021-05-31,1713,1145,144,30
2021-06-01,3588,2251,133,57
2021-06-02,1383,868,136,29
2021-06-03,9268,6177,343,169
2021-06-04,7562,5040,216,130
2021-06-05,640,402,53,14
2021-06-06,579,370,9,9
2021-06-07,430,279,6,7
2021-06-08,3337,2114,348,61
2021-06-09,1204,755,40,21
2021-06-10,831,521,75,18
2021-06-11,8402,5962,727,160
2021-06-12,4944,3541,106,95
2021-06-13,0,0,0,0
2021-06-14,0,0,0,0
2021-06-15,0,0,0,0
2021-06-16,0,0,0,0
2021-06-17,0,0,0,0
2021-06-18,7529,5161,190,141
2021-06-19,58,36,0,1
2021-06-20,6486,4595,152,125
2021-06-21,0,0,0,0
2021-06-22,4638,3294,131,91
2021-06-23,9058,6089,293,165
2021-06-24,864,602,15,18
2021-06-25,1411,969,26,23
2021-06-26,5153,3240,310,87
2021-06-27,1516,951,130,29
2021-06-28,0,0,0,0
2021-07-10,13420,9309,862,243
2021-07-11,20206,13573,377,346
2021-07-12,15921,12447,6389,443
2021-07-13,0,0,0,0
2021-07-14,24642,18536,7159,616
2021-07-15,9350,6397,190,167
2021-07-16,9384,7945,6300,323
2021-07-17,820,515,36,11
2021-07-18,426,267,6,6
2021-07-19,0,0,0,0
2021-07-20,24426,18318,6715,601
2021-07-21,15441,12897,9586,518
2021-07-22,0,0,0,0
2021-07-23,21396,16250,6960,552
2021-07-24,22815,17809,8885,621
2021-07-25,2169,1502,20,40
2021-07-26,14640,11567,6479,417
2021-07-27,0,0,0,0
2021-07-28,24531,18420,6821,607
2021-07-29,0,0,0,0
2021-07-30,22764,17341,6920,584
2021-07-31,23555,18488,9987,673
2021-08-01,1198,852,53,22
2021-08-02,0,0,0,0
2021-08-03,0,0,0,0
2021-08-04,0,0,0,0
2021-08-05,0,0,0,0
2021-08-06,0,0,0,0
2021-08-07,0,0,0,0
2021-08-08,0,0,0,0
2021-08-09,0,0,0,0
2021-08-10,10051,8655,6620,363
2021-08-11,0,0,0,0
2021-08-12,9852,8585,6950,362
2021-08-13,4209,2781,273,76
2021-08-14,20490,16448,10082,629
2021-08-15,1418,890,145,30
2021-08-16,0,0,0,0
2021-08-17,13200,10988,8183,445
2021-08-18,12719,10744,8436,440
2021-08-19,0,0,0,0
2021-08-20,1338,878,137,22
2021-08-21,773,485,51,15
2021-08-22,662,415,20,12
2021-08-23,0,0,0,0
2021-08-24,3682,2463,103,64
2021-08-25,0,0,0,0
2021-08-26,9696,6544,534,171
2021-08-27,0,0,0,0
2021-08-28,0,0,0,0
2021-08-29,0,0,0,0
2021-08-30,3781,2536,180,73
2021-08-31,0,0,0,0
2021-09-01,0,0,0,0
2021-09-02,0,0,0,0
2021-09-03,0,0,0,0
2021-09-04,0,0,0,0
2021-09-05,0,0,0,0
2021-09-06,6925,4851,186,126
2021-09-07,10959,9093,6052,362
2021-09-08,0,0,0,0
2021-09-09,893,611,40,17
2021-09-10,0,0,0,0
2021-09-11,0,0,0,0
2021-09-12,11,7,7,0
2021-09-13,25675,19544,7044,653
2021-09-14,113,71,33,2
2021-09-15,2467,1617,168,44
2021-09-16,55,35,0,1
2021-09-17,18300,14184,6798,499
2021-09-18,18177,14178,7203,502
2021-09-19,813,510,74,16
2021-09-20,0,0,0,0
2021-09-21,0,0,0,0
2021-09-22,0,0,0,0
2021-09-23,0,0,0,0
2021-09-24,0,0,0,0
2021-09-25,0,0,0,0
2021-09-26,0,0,0,0
2021-09-27,0,0,0,0
2021-09-28,0,0,0,0
2021-09-29,0,0,0,0
2021-09-30,0,0,0,0
2021-10-01,24096,16380,294,436
2021-10-02,26040,17660,190,476
2021-10-03,3729,2616,143,73
2021-10-04,4838,3326,270,95
2021-10-05,4524,3679,2547,141
2021-10-06,0,0,0,0
2021-10-07,7963,6579,5242,265
2021-10-08,0,0,0,0
2021-10-09,22729,17443,8046,598
2021-10-10,5449,3763,473,96
2021-10-11,0,0,0,0
2021-10-12,0,0,0,0
2021-10-13,0,0,0,0
2021-10-14,0,0,0,0
2021-10-15,0,0,0,0
2021-10-16,0,0,0,0
2021-10-17,0,0,0,0
2021-10-18,1155,771,68,24
2021-10-19,0,0,0,0
2021-10-20,0,0,0,0
2021-10-21,0,0,0,0
2021-10-22,0,0,0,0
2021-10-23,0,0,0,0
2021-10-24,0,0,0,0
2021-10-25,0,0,0,0
2021-10-26,9354,7295,3993,265
2021-10-27,4439,3163,80,86
2021-10-28,24517,17389,4739,508
2021-10-29,3024,2142,72,56
2021-10-30,5995,4454,50,120
2021-10-31,0,0,0,0
2021-11-01,2655,1785,98,50
2021-11-02,13568,9998,3208,313
2021-11-03,8135,6378,3330,230
2021-11-04,9888,6883,1414,198
2021-11-05,0,0,0,0
2021-11-06,6945,5764,4608,231
2021-11-07,6096,4202,249,113
2021-11-08,2125,1519,483,47
2021-11-09,4923,3444,179,92
2021-11-10,8369,6823,4787,261
2021-11-11,18734,13139,780,366
2021-11-12,2735,2018,607,65
2021-11-13,15944,11077,187,304
2021-11-14,13714,10061,178,272
2021-11-15,3254,2286,126,62
2021-11-16,9862,6917,97,183
2021-11-17,14928,11437,5442,392
2021-11-18,17478,13340,5830,455
2021-11-19,7298,6057,4763,243
2021-11-20,15001,11462,5420,397
2021-11-21,402,258,53,7
2021-11-22,0,0,0,0
2021-11-23,13631,10648,5198,384
2021-11-24,0,0,0,0
2021-11-25,15568,12014,5705,423
2021-11-26,0,0,0,0
2021-11-27,0,0,0,0
2021-11-28,0,0,0,0
2021-11-29,0,0,0,0
2021-11-30,0,0,0,0
2021-12-01,2454,1733,104,47
2021-12-02,6545,4599,276,122
2021-12-03,0,0,0,0
2021-12-04,2117,1415,57,36
2021-12-05,0,0,0,0
2021-12-06,10837,8354,4927,305
2021-12-07,10135,8123,5064,313
2021-12-08,10,6,0,0
2021-12-09,0,0,0,0
2021-12-10,8893,7149,5064,285
2021-12-11,8305,6712,4850,260
2021-12-12,0,0,0,0
2021-12-13,0,0,0,0
2021-12-14,9286,7433,4958,290
2021-12-15,0,0,0,0
2021-12-16,0,0,0,0
2021-12-17,0,0,0,0
2021-12-18,7129,5033,163,137
2021-12-19,2679,1843,205,51
2021-12-20,8605,6927,4954,276
2021-12-21,8083,6702,4898,269
2021-12-22,0,0,0,0
2021-12-23,3430,2368,1031,71
2021-12-24,10741,7478,646,206
2021-12-25,0,0,0,0
2021-12-26,0,0,0,0
2021-12-27,0,0,0,0
2021-12-28,8568,7010,4669,276
2021-12-29,2666,1859,29,50
2021-12-30,0,0,0,0
2021-12-31,0,0,0,0
2022-01-01,3111,2197,174,56
2022-01-02,0,0,0,0
2022-01-03,0,0,0,0
2022-01-04,9312,7587,5073,289
2022-01-05,7102,6036,4958,256
2022-01-06,0,0,0,0
2022-01-07,8954,7193,4813,273
2022-01-08,0,0,0,0
2022-01-09,0,0,0,0
2022-01-10,0,0,0,0
2022-01-11,2226,1588,38,43
2022-01-12,13416,10777,5275,394
2022-01-13,3455,2402,139,67
2022-01-14,10124,8006,4057,289
2022-01-15,3812,2668,612,75
2022-01-16,11750,9286,4988,333
2022-01-17,40,25,5,1
2022-01-18,0,0,0,0
2022-01-19,0,0,0,0
2022-01-20,0,0,0,0
2022-01-21,0,0,0,0
2022-01-22,13768,10812,5369,379
2022-01-23,0,0,0,0
2022-01-24,0,0,0,0
2022-01-25,0,0,0,0
2022-01-26,0,0,0,0
2022-01-27,0,0,0,0
2022-01-28,6589,5240,3349,200
2022-01-29,8590,6388,2452,207
2022-01-30,0,0,0,0
2022-01-31,0,0,0,0
2022-02-01,2164,1586,514,50
2022-02-02,12715,9824,4879,347
2022-02-03,0,0,0,0
2022-02-04,0,0,0,0
2022-02-05,8361,6745,4735,263
2022-02-06,0,0,0,0
2022-02-07,8701,7150,5055,292
2022-02-08,13785,9804,613,274
2022-02-09,8416,5990,173,157
2022-02-10,7610,6183,4140,247
2022-02-11,7098,5182,691,145
2022-02-12,9987,8250,6244,323
2022-02-13,0,0,0,0
2022-02-14,0,0,0,0
2022-02-15,3003,2084,38,54
2022-02-16,5680,3807,471,102
2022-02-17,13170,9046,162,244
