,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
194,62,85.13,36.7,2,6
195,52,137.67,89.25,2,3
196,694,95.94,69.31,2,3
197,107,96.0,92.65,2,4
198,28,88.98,55.03,2,4
199,151,81.6,46.36,2,4
200,132,82.38,43.93,2,4
201,767,92.31,78.73,2,5
202,408,89.71,53.04,2,5
203,86,86.34,32.12,2,5
204,230,88.0,42.47,2,5
205,438,87.5,44.27,2,6
206,52,87.47,31.86,2,6
207,1923,91.47,80.82,2,2
208,143,84.92,46.43,2,2
209,109,85.85,40.75,2,3
210,1260,86.91,55.09,2,3
211,845,88.19,51.69,2,3
212,156,88.15,37.73,2,3
213,0,80.89,34.54,2,4
214,113,83.85,31.21,2,4
215,2692,84.53,73.18,2,4
216,0,82.21,32.64,2,4
217,64,84.74,36.66,2,5
218,95,81.78,33.14,2,5
219,0,84.21,35.63,2,5
220,2682,88.0,72.33,2,5
221,451,88.83,48.37,2,6
222,383,111.57,63.34,2,2
223,0,87.86,31.64,2,2
224,661,84.65,59.93,2,3
225,303,89.68,43.02,2,3
226,109,84.74,34.76,2,3
227,410,85.46,54.87,2,3
228,2168,83.31,63.48,2,4
229,1305,88.2,60.77,2,4
230,2133,82.74,71.97,2,4
231,2306,85.52,63.63,2,4
232,229,83.35,41.43,2,5
233,59,81.39,25.88,2,5
234,40,81.33,28.72,2,5
235,61,85.93,36.33,2,5
236,3,83.2,37.73,2,6
237,549,85.33,67.42,2,2
238,1561,85.05,55.22,2,2
239,1163,85.38,55.81,2,3
240,208,88.62,34.17,2,3
241,285,84.71,38.23,2,3
242,0,89.07,24.78,2,3
243,327,92.87,35.78,2,4
244,198,87.53,30.81,2,4
245,1956,86.43,61.08,2,4
246,1184,85.65,61.72,2,4
247,651,92.4,64.67,2,5
248,882,85.5,56.68,2,5
249,2610,85.12,64.68,2,5
250,1488,86.32,53.21,2,5
251,69,88.73,35.73,2,6
252,32,89.77,36.2,2,2
253,463,89.37,49.09,2,3
254,108,87.69,39.9,2,3
255,140,87.84,37.32,2,3
256,391,87.53,47.5,2,3
257,173,87.02,38.93,2,4
258,158,84.77,37.76,2,4
259,97,88.0,34.25,2,4
260,491,95.64,101.32,2,4
261,786,96.0,91.69,2,5
262,10,89.19,25.16,2,5
263,280,84.0,58.27,2,5
264,138,87.38,40.46,2,5
265,105,88.15,39.75,2,6
266,27,96.43,52.25,2,6
267,1372,101.19,82.88,2,2
268,836,86.49,39.44,2,2
269,56,90.18,28.73,2,3
270,332,86.59,41.4,2,3
271,49,86.27,32.12,2,3
272,224,87.3,39.04,2,3
273,208,90.67,30.98,2,4
274,269,85.11,33.0,2,4
275,1062,84.95,41.31,2,4
