date,steps,distance,runDistance,calories
2021-01-01,6264,4615,499,191
2021-01-02,2703,2000,271,85
2021-01-03,1865,1331,253,59
2021-01-04,2686,1917,162,73
2021-01-05,2352,1645,203,64
2021-01-06,4820,3577,253,141
2021-01-07,2231,1560,205,61
2021-01-08,6951,5163,682,202
2021-01-09,3433,2412,320,97
2021-01-10,3110,2352,181,92
2021-01-11,4017,2844,302,108
2021-01-12,228,159,10,6
2021-01-13,0,0,0,0
2021-01-14,0,0,0,0
2021-01-15,0,0,0,0
2021-01-16,0,0,0,0
2021-01-17,0,0,0,0
2021-01-18,0,0,0,0
2021-01-19,0,0,0,0
2021-01-20,0,0,0,0
2021-01-21,0,0,0,0
2021-01-22,0,0,0,0
2021-01-23,729,510,92,21
2021-01-24,3472,2636,224,105
2021-01-25,2393,1680,234,65
2021-01-26,3223,2277,276,91
2021-01-27,3032,2133,211,82
2021-01-28,1559,1090,168,43
2021-01-29,2822,1984,210,80
2021-01-30,2262,1590,212,61
2021-01-31,2671,1868,148,71
2021-02-01,4197,3124,188,123
2021-02-02,1390,972,127,43
2021-02-03,10048,7644,436,304
2021-02-04,1721,1203,132,47
2021-02-05,2526,1766,210,67
2021-02-06,736,515,50,21
2021-02-07,4310,3206,212,123
2021-02-08,1682,1176,195,47
2021-02-09,2855,2035,275,81
2021-02-10,1713,1198,159,49
2021-02-11,1997,1397,182,57
2021-02-12,9246,6831,634,269
2021-02-13,1941,1369,184,59
2021-02-14,6542,4785,464,181
2021-02-15,2669,1866,270,71
2021-02-16,4040,2825,241,106
2021-02-17,870,608,106,24
2021-02-18,1544,1080,145,43
2021-02-19,11089,7921,693,297
2021-02-20,9195,7162,616,294
2021-02-21,6363,4653,319,180
2021-02-22,3177,2222,300,90
2021-02-23,1858,1299,122,49
2021-02-24,2700,1888,228,74
2021-02-25,3011,2120,166,76
2021-02-26,5919,4228,385,155
2021-02-27,2228,1559,177,64
2021-02-28,6684,4901,403,191
2021-03-01,2771,1985,150,83
2021-03-02,2256,1581,167,65
2021-03-03,1736,1214,171,47
2021-03-04,2332,1665,157,70
2021-03-05,2061,1441,183,58
2021-03-06,9076,6789,372,262
2021-03-07,7888,5996,434,238
2021-03-08,2100,1469,168,59
2021-03-09,2873,2023,199,82
2021-03-10,4542,3277,468,133
2021-03-11,4207,3009,304,114
2021-03-12,4182,3133,162,123
2021-03-13,3690,2614,334,107
2021-03-14,8248,6130,464,236
2021-03-15,3369,2380,229,96
2021-03-16,2954,2078,270,86
2021-03-17,3383,2379,272,89
2021-03-18,3441,2413,281,94
2021-03-19,1388,971,155,42
2021-03-20,2783,1950,238,77
2021-03-21,3080,2235,124,84
2021-03-22,4383,3102,363,122
2021-03-23,1721,1203,203,55
2021-03-24,2770,1937,306,75
2021-03-25,5319,3955,218,160
2021-03-26,5439,3881,576,152
2021-03-27,10519,8342,437,330
2021-03-28,5220,3836,343,157
2021-03-29,5490,4216,176,175
2021-03-30,4180,3127,172,119
2021-03-31,1686,1179,214,50
2021-04-01,5036,3594,574,132
2021-04-02,3900,2779,371,113
2021-04-03,5768,4158,427,162
2021-04-04,5933,4283,503,162
2021-04-05,12936,9879,181,384
2021-04-06,11272,8348,782,338
2021-04-07,4331,3036,412,117
2021-04-08,5484,3890,434,153
2021-04-09,7787,5677,451,221
2021-04-10,7785,5816,369,224
2021-04-11,13550,10497,276,420
2021-04-12,4173,2918,326,105
2021-04-13,2030,1420,177,59
2021-04-14,3606,2525,156,91
2021-04-15,2594,1825,298,73
2021-04-16,3027,2132,189,74
2021-04-17,5936,4366,336,175
2021-04-18,5476,4194,347,170
2021-04-19,2635,1843,233,71
2021-04-20,1376,962,72,37
2021-04-21,8381,6174,302,239
2021-04-22,1761,1233,240,56
2021-04-23,3548,2529,305,101
2021-04-24,5963,4216,554,154
2021-04-25,6647,4754,540,189
2021-04-26,4905,3496,379,136
2021-04-27,3919,2762,387,111
2021-04-28,4699,3471,313,138
2021-04-29,4148,2990,291,113
2021-04-30,14431,11026,308,437
2021-05-01,4842,3428,352,133
2021-05-02,4977,3664,410,148
2021-05-03,3894,2801,277,109
2021-05-04,2659,1859,275,72
2021-05-05,2187,1535,218,61
2021-05-06,2987,2093,243,76
2021-05-07,2907,2056,202,82
2021-05-08,2742,1924,152,77
2021-05-09,5262,3842,372,152
2021-05-10,4355,3144,267,123
2021-05-11,13468,10338,650,407
2021-05-12,12863,9570,293,389
2021-05-13,2675,1902,177,75
2021-05-14,1169,817,45,35
2021-05-15,2464,1723,188,65
2021-05-16,4210,3085,172,123
2021-05-17,1597,1125,243,44
2021-05-18,1541,1078,105,47
2021-05-19,10044,7701,583,301
2021-05-20,1802,1260,175,49
2021-05-21,11254,8746,578,344
2021-05-22,1741,1217,121,43
2021-05-23,3048,2254,133,85
2021-05-24,3775,2682,259,100
2021-05-25,3451,2413,288,92
2021-05-26,468,327,49,15
2021-05-27,724,506,68,23
2021-05-28,3781,2682,374,112
