time,heartRate
2023-05-01 21:03:12+0000,79
2023-03-02 19:22:37+0000,97
2022-12-05 22:22:55+0000,80
2022-12-05 22:22:19+0000,73
2022-10-10 14:52:03+0000,94
2022-09-04 07:26:34+0000,70
2022-08-16 07:22:40+0000,83
2022-08-14 13:01:08+0000,71
2022-08-11 18:29:15+0000,85
2022-04-17 17:06:15+0000,126
2021-12-05 13:55:22+0000,71
2021-10-01 06:00:46+0000,80
2021-09-11 00:16:26+0000,104
2021-09-11 00:13:19+0000,76
2021-08-29 06:00:37+0000,64
2021-08-26 15:09:56+0000,71
2021-08-08 06:00:40+0000,71
2021-07-19 16:53:41+0000,55
2021-07-13 06:25:01+0000,65
2021-07-05 08:55:34+0000,79
2021-06-03 06:10:44+0000,69
2021-06-02 22:16:57+0000,64
2021-05-28 21:04:11+0000,55
2021-03-21 08:03:52+0000,77
2021-03-20 18:57:24+0000,86
2021-01-23 15:05:53+0000,96
2020-12-28 21:32:25+0000,76
2020-12-26 20:35:18+0000,81
2020-12-26 09:19:31+0000,75
2020-12-25 20:07:47+0000,91
2020-12-24 14:24:36+0000,80
2020-12-23 21:02:26+0000,81
2020-12-23 20:59:27+0000,102
2020-12-23 20:52:41+0000,82
2020-12-22 23:14:56+0000,63
2020-12-22 11:11:40+0000,84
