date,steps,distance,runDistance,calories
2020-07-09,2886,2062,122,64
2020-07-10,6257,4490,250,135
2020-07-11,11591,8195,532,230
2020-07-12,2995,2129,115,65
2020-07-13,6652,4635,393,131
2020-07-14,5471,3795,114,106
2020-07-15,5556,3798,278,110
2020-07-16,6969,4643,213,133
2020-07-17,13560,8968,334,245
2020-07-24,4989,3412,100,98
2020-07-25,5627,4054,119,120
2020-07-26,2274,1520,233,51
2020-07-27,5369,3734,227,109
2020-07-28,676,424,66,12
2020-07-29,2960,2013,170,66
2020-07-30,3417,2384,219,71
2020-07-31,3039,2201,61,64
2020-08-01,12580,8892,502,248
2020-08-02,1420,891,146,31
2020-08-03,7994,5752,351,170
2020-08-04,5782,3922,237,115
2020-08-05,3528,2586,88,75
2020-08-06,5705,3849,390,124
2020-08-07,7262,5097,355,154
2020-08-08,7228,5068,361,147
2020-08-09,884,555,122,22
2020-08-10,8109,5728,365,161
2020-08-11,7523,5431,381,167
2020-08-12,1902,1388,40,42
2020-08-13,5396,3697,227,107
2020-08-14,10853,7804,392,218
2020-08-15,1263,793,270,35
2020-08-16,893,560,134,23
2020-08-17,6713,4833,206,137
2020-08-18,6431,4352,377,136
2020-08-19,4741,3313,221,96
2020-08-20,8737,6156,539,181
2020-08-21,6566,4711,227,133
2020-08-22,5402,3832,83,108
2020-08-23,1239,777,112,26
2020-08-24,6286,4269,402,126
2020-08-25,10618,7475,481,222
2020-08-26,147,92,16,2
2020-08-27,8763,5941,500,172
2020-08-28,10445,7635,214,220
2020-08-29,444,279,69,12
2020-08-30,4408,3111,284,93
2020-08-31,12,8,0,0
