date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2019-11-29,0,0,0,2019-11-27 23:00:00+0000,2019-11-27 23:00:00+0000,0,
2019-11-30,242,323,0,2019-11-30 01:18:00+0000,2019-11-30 10:43:00+0000,0,
2019-12-01,280,292,0,2019-11-30 23:36:00+0000,2019-12-01 09:08:00+0000,0,
2019-12-02,178,261,0,2019-12-02 00:58:00+0000,2019-12-02 08:17:00+0000,0,
2019-12-03,183,318,0,2019-12-03 00:21:00+0000,2019-12-03 08:42:00+0000,0,
2019-12-04,162,166,0,2019-12-04 01:17:00+0000,2019-12-04 06:45:00+0000,0,
2019-12-05,53,90,0,2019-12-05 03:22:00+0000,2019-12-05 05:45:00+0000,0,
2019-12-06,264,303,0,2019-12-05 22:28:00+0000,2019-12-06 07:55:00+0000,0,
2019-12-07,170,314,0,2019-12-07 00:58:00+0000,2019-12-07 09:02:00+0000,0,
2019-12-08,157,301,0,2019-12-08 01:52:00+0000,2019-12-08 09:30:00+0000,0,
2019-12-09,163,250,0,2019-12-09 00:59:00+0000,2019-12-09 07:52:00+0000,0,
2019-12-10,109,149,0,2019-12-10 02:22:00+0000,2019-12-10 06:40:00+0000,0,
2019-12-11,127,212,0,2019-12-11 01:56:00+0000,2019-12-11 07:35:00+0000,0,
2019-12-12,162,148,0,2019-12-12 00:22:00+0000,2019-12-12 05:32:00+0000,0,
2019-12-13,197,155,0,2019-12-13 01:31:00+0000,2019-12-13 07:23:00+0000,0,
2019-12-14,147,200,0,2019-12-14 03:26:00+0000,2019-12-14 09:13:00+0000,0,
2019-12-15,171,302,0,2019-12-15 01:56:00+0000,2019-12-15 09:49:00+0000,0,
2019-12-16,193,303,0,2019-12-16 01:22:00+0000,2019-12-16 09:38:00+0000,0,
2019-12-17,171,263,0,2019-12-17 00:29:00+0000,2019-12-17 07:43:00+0000,0,
2019-12-18,147,162,0,2019-12-18 00:36:00+0000,2019-12-18 05:45:00+0000,0,
2019-12-19,163,158,0,2019-12-19 00:24:00+0000,2019-12-19 05:45:00+0000,0,
2019-12-20,0,0,0,2019-12-18 23:00:00+0000,2019-12-18 23:00:00+0000,0,
2019-12-21,182,292,0,2019-12-21 01:09:00+0000,2019-12-21 09:03:00+0000,0,
2019-12-22,246,242,0,2019-12-21 23:36:00+0000,2019-12-22 07:44:00+0000,0,
2019-12-23,174,303,0,2019-12-22 23:03:00+0000,2019-12-23 07:00:00+0000,0,
2019-12-24,75,276,0,2019-12-24 01:57:00+0000,2019-12-24 07:48:00+0000,0,
2019-12-25,148,392,3,2019-12-24 22:43:00+0000,2019-12-25 07:46:00+0000,0,
2019-12-26,153,278,0,2019-12-26 00:09:00+0000,2019-12-26 07:20:00+0000,0,
2019-12-27,226,229,2,2019-12-27 00:45:00+0000,2019-12-27 08:22:00+0000,0,
2019-12-28,216,418,0,2019-12-27 23:20:00+0000,2019-12-28 09:54:00+0000,0,
